Warp DeprecationWarning: The symbol `warp.context.Device` will soon be removed from the public API. Use `warp.Device` instead.
/home/iaziz6/Imo_Training/Training/physicsnemo_env/lib/python3.10/site-packages/physicsnemo/distributed/manager.py:415: UserWarning: Could not initialize using ENV, SLURM or OPENMPI methods. Assuming this is a single process job
  warn(
[2026-05-01 14:01:00,577][checkpoint][WARNING] - Provided checkpoint directory /home/iaziz6/Imo_Training/Training/checkpoints_baseline_unet does not exist, skipping load
[2026-05-01 14:01:00,578][main][INFO] - Using baseline UNet training with train_num_samples=100, val_num_samples=6, max_epochs=16, log_every_steps=1, val_every_steps=100, save_every=2, checkpoint_dir=/home/iaziz6/Imo_Training/Training/checkpoints_baseline_unet.
Epoch 3/16 | Step 51/100 (global 251) | Loss 0.096026 | LR 9.39e-04
Epoch 3/16 | Step 52/100 (global 252) | Loss 0.145087 | LR 9.39e-04
Epoch 3/16 | Step 53/100 (global 253) | Loss 0.176695 | LR 9.39e-04
Epoch 3/16 | Step 54/100 (global 254) | Loss 0.151130 | LR 9.38e-04
Epoch 3/16 | Step 55/100 (global 255) | Loss 0.134621 | LR 9.38e-04
Epoch 3/16 | Step 56/100 (global 256) | Loss 0.133806 | LR 9.38e-04
Epoch 3/16 | Step 57/100 (global 257) | Loss 0.128105 | LR 9.38e-04
Epoch 3/16 | Step 58/100 (global 258) | Loss 0.151529 | LR 9.38e-04
Epoch 3/16 | Step 59/100 (global 259) | Loss 0.158084 | LR 9.37e-04
Epoch 3/16 | Step 60/100 (global 260) | Loss 0.102609 | LR 9.37e-04
Epoch 3/16 | Step 61/100 (global 261) | Loss 0.139704 | LR 9.37e-04
Epoch 3/16 | Step 62/100 (global 262) | Loss 0.233027 | LR 9.37e-04
Epoch 3/16 | Step 63/100 (global 263) | Loss 0.121034 | LR 9.36e-04
Epoch 3/16 | Step 64/100 (global 264) | Loss 0.126841 | LR 9.36e-04
Epoch 3/16 | Step 65/100 (global 265) | Loss 0.073327 | LR 9.36e-04
Epoch 3/16 | Step 66/100 (global 266) | Loss 0.339916 | LR 9.36e-04
Epoch 3/16 | Step 67/100 (global 267) | Loss 0.141004 | LR 9.35e-04
Epoch 3/16 | Step 68/100 (global 268) | Loss 0.116836 | LR 9.35e-04
Epoch 3/16 | Step 69/100 (global 269) | Loss 0.089153 | LR 9.35e-04
